track_id	object_type	utw1_x	utw1_y	utw1_z	utw2 x	utw2 y	utw2_z	uXw_x	uXw_y	uXw_z
1	Car	5.674826	-1.334792	-0.079794	8.829640	-2.184323	-0.056986	15.269577	-6.866550	-1.026345
2	Car	7.780750	-1.896389	-0.062476	13.015602	-3.293076	-0.053364	21.332943	-8.466352	-1.010641
3	Car	7.780750	-1.896389	-0.062476	14.059823	-3.567164	-0.045905	27.951963	-1.304364	-0.910986
4	Car	14.059823	-3.567164	-0.045905	29.342491	-7.630970	0.009497	49.286858	-6.809209	-0.937373
5	Car	16.150299	-4.121738	-0.041527	33.356449	-8.646562	0.009497	51.120834	-16.520760	-1.011839
6	Car	16.150299	-4.121738	-0.041527	32.338371	-8.399885	0.009703	54.588928	-8.232051	-0.940521
95	Car	16.150299	-4.121738	-0.040593	24.313944	-6.303169	0.001151	59.481552	4.904417	-0.699315
97	Car	15.091002	-3.838126	-0.043759	19.233490	-4.952836	-0.036507	57.960564	2.325243	-0.858849
94	Car	17.193701	-4.385200	-0.040593	23.305656	-6.034466	-0.015768	60.883522	7.231053	-0.725073
93	Car	18.202288	-4.680953	-0.037380	21.306284	-5.495674	-0.022061	61.311447	9.446222	-0.681029
7	Car	28.336880	-7.355457	0.008746	41.434978	-10.750775	0.006341	62.200874	-10.371120	-0.787109
92	Car	25.319435	-6.550170	0.005324	28.336880	-7.355457	0.009875	54.469315	-39.403641	-0.577966
9	Car	33.356449	-8.646562	0.009703	47.713116	-12.408647	-0.004396	68.411972	-11.840677	-0.802084
11	Car	50.882961	-13.294803	0.008475	73.245995	-19.576559	0.036313	96.540268	-28.590965	-0.959782
10	Car	46.649155	-12.120913	0.004020	59.421516	-15.763085	-0.001948	79.026810	-14.470488	-0.880291
13	Car	49.820110	-12.998262	0.004020	67.945343	-18.165880	0.027416	88.894737	-32.057049	-0.732377
89	Car	51.947735	-13.607528	-0.005120	64.749702	-17.289959	0.025135	93.913910	-47.492863	-0.377274
14	Car	59.421516	-15.763085	-0.004396	72.166641	-19.303020	0.036313	91.954285	-32.972076	-0.521149
19	Car	79.696587	-21.258669	0.041301	93.794983	-24.740135	0.041126	112.958458	-23.980299	-0.832379
15	Car	76.445381	-20.409586	0.042327	85.117867	-22.630913	0.042327	99.346733	-20.124426	-1.138057
16	Car	77.541023	-20.697973	0.042327	87.282768	-23.159380	0.041594	102.454987	-21.231880	-0.821096
17	Car	74.266968	-19.832788	0.038178	79.696587	-21.258669	0.049451	92.522560	-18.481216	-0.908750
18	Car	75.385635	-20.140633	0.041301	82.941826	-22.078873	0.044392	96.962967	-33.778275	-0.614126
26	Car	75.385635	-20.140633	0.041301	77.541023	-20.697973	0.052347	99.833321	-49.157803	-0.588312
27	Car	75.915512	-20.275108	0.046403	78.078918	-20.828453	0.047949	100.990479	-47.895279	-0.457442
30	Car	87.282768	-23.159380	0.041126	94.864296	-25.015066	0.037609	122.480324	-55.974251	-0.487229
20	Car	92.718109	-24.477861	0.038499	102.275421	-26.900400	0.051114	117.704300	-25.267231	-0.824953
21	Car	94.864296	-25.015066	0.041126	105.420143	-27.741022	0.061679	122.517708	-26.465410	-0.836043
31	Car	91.648369	-24.198669	0.040521	98.055740	-25.821447	0.037609	124.240486	-56.425529	-0.350769
28	Car	90.549446	-23.943979	0.041058	92.718109	-24.477861	0.031096	117.297066	-53.853992	-0.406260
29	Car	91.648369	-24.198669	0.040521	94.864296	-25.015066	0.037609	118.467018	-52.997826	-0.365862
22	Car	100.163696	-26.357731	0.044931	110.683456	-29.146156	0.067993	127.869629	-27.847719	-0.852732
23	Car	98.055740	-25.821447	0.037609	105.420143	-27.741022	0.061679	120.493179	-40.656769	-0.500186
25	Car	99.638382	-26.225185	0.041715	109.108635	-28.719059	0.066323	125.175034	-41.585777	-0.467629
34	Car	101.223190	-26.629389	0.046213	113.879929	-29.968418	0.072013	127.182327	-36.711094	-0.839082
33	Car	103.322853	-27.181919	0.056775	115.995499	-30.524389	0.078246	134.525742	-29.851120	-0.835908
